iter	Passed	Remaining
0	0	80
1	1	70
2	2	68
3	2	63
4	3	63
5	4	62
6	4	62
7	5	63
8	6	62
9	6	61
10	7	61
11	8	60
12	8	60
13	9	59
14	10	58
15	10	57
16	11	56
17	12	55
18	13	56
19	13	55
20	14	54
21	15	53
22	15	53
23	16	52
24	17	51
25	18	51
26	18	50
27	19	50
28	20	49
29	21	49
30	22	48
31	22	48
32	23	47
33	23	46
34	24	45
35	25	44
36	26	44
37	26	43
38	27	42
39	28	42
40	28	41
41	29	40
42	29	39
43	30	38
44	31	38
45	32	37
46	32	36
47	33	36
48	34	35
49	35	35
50	35	34
51	36	33
52	37	32
53	37	32
54	38	31
55	38	30
56	39	30
57	40	29
58	41	28
59	42	28
60	42	27
61	43	26
62	44	25
63	44	25
64	45	24
65	46	23
66	46	23
67	47	22
68	48	21
69	49	21
70	49	20
71	50	19
72	51	19
73	52	18
74	53	17
75	53	17
76	54	16
77	55	15
78	56	14
79	56	14
80	57	13
81	58	12
82	58	12
83	59	11
84	60	10
85	61	9
86	61	9
87	62	8
88	63	7
89	64	7
90	64	6
91	65	5
92	65	4
93	66	4
94	67	3
95	67	2
96	68	2
97	69	1
98	69	0
99	70	0
