iter	Passed	Remaining
0	147	146882
1	147	73712
2	148	49335
3	149	37148
4	149	29819
5	150	24933
6	151	21454
7	151	18835
8	152	16791
9	153	15158
10	154	13875
11	155	12787
12	156	11855
13	156	11042
14	157	10347
15	158	9752
16	159	9231
17	160	8757
18	161	8326
19	161	7932
20	162	7576
21	163	7255
22	163	6964
23	164	6693
24	165	6445
25	165	6214
26	166	5998
27	167	5798
28	167	5618
29	168	5445
30	169	5283
31	169	5130
32	170	4989
33	170	4857
34	171	4731
35	172	4610
36	172	4497
37	173	4391
38	174	4292
39	174	4197
40	175	4105
41	176	4017
42	176	3933
43	177	3853
44	177	3775
45	178	3702
46	179	3630
47	179	3565
48	180	3502
49	181	3440
50	181	3380
51	182	3324
52	183	3270
53	183	3216
54	184	3172
55	185	3126
56	186	3079
57	186	3032
58	187	2990
59	188	2948
60	188	2905
61	189	2870
62	190	2831
63	191	2794
64	191	2757
65	192	2720
66	192	2686
67	193	2652
68	194	2618
69	194	2585
70	195	2555
71	195	2525
72	196	2495
73	197	2466
74	197	2437
75	198	2413
76	199	2388
77	199	2362
78	200	2338
79	201	2314
80	201	2290
81	202	2267
82	202	2241
83	203	2219
84	204	2197
85	204	2175
86	205	2154
87	205	2134
88	206	2117
89	207	2097
90	208	2078
91	208	2059
92	209	2041
93	209	2023
94	210	2005
95	211	1987
96	211	1972
97	212	1956
98	213	1940
99	213	1923
100	214	1907
101	214	1891
102	215	1876
103	216	1861
104	217	1851
105	217	1837
106	218	1823
107	219	1809
108	219	1795
109	220	1781
110	220	1768
111	221	1756
112	222	1743
113	222	1731
114	223	1719
115	224	1707
116	224	1694
117	225	1683
118	225	1672
119	226	1661
120	227	1650
121	227	1639
122	228	1629
123	229	1618
124	229	1607
125	230	1597
126	230	1586
127	231	1576
128	232	1566
129	232	1558
130	233	1549
131	234	1540
132	234	1530
133	235	1521
134	235	1512
135	236	1503
136	237	1493
137	237	1485
138	238	1476
139	239	1468
140	239	1460
141	240	1451
142	240	1444
143	241	1435
144	242	1427
145	242	1420
146	243	1412
147	244	1406
148	245	1400
149	245	1393
150	246	1385
151	247	1378
152	247	1371
153	248	1363
154	248	1356
155	249	1350
156	250	1343
157	250	1337
158	251	1330
159	252	1323
160	252	1315
161	252	1308
162	253	1303
163	254	1298
164	255	1292
165	256	1287
166	256	1280
167	257	1275
168	258	1269
169	258	1263
170	259	1257
171	260	1252
172	260	1246
173	261	1241
174	262	1236
175	262	1230
176	263	1225
177	264	1219
178	264	1213
179	265	1208
180	266	1203
181	266	1198
182	267	1192
183	267	1187
184	268	1182
185	268	1177
186	269	1172
187	270	1166
188	270	1162
189	271	1157
190	272	1153
191	272	1148
192	273	1144
193	274	1139
194	274	1134
195	275	1130
196	276	1125
197	276	1121
198	277	1116
199	278	1112
200	278	1107
201	279	1103
202	279	1098
203	280	1094
204	280	1089
205	282	1087
206	282	1084
207	283	1079
208	284	1075
209	284	1071
210	285	1067
211	286	1063
212	286	1059
213	287	1055
214	288	1052
215	288	1048
216	289	1044
217	289	1040
218	290	1035
219	291	1032
220	291	1028
221	292	1024
222	292	1020
223	293	1016
224	294	1013
225	294	1009
226	295	1005
227	295	1001
228	296	997
229	296	994
230	297	990
231	298	987
232	298	983
233	299	980
234	300	976
235	300	973
236	301	969
237	301	966
238	302	962
